Granularidade Geográfica;Categoria;Filtro;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Acre;Localidade;Total;Acre;AC;2012;0,655;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2012;0,7265;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2012;0,4483;%;1.2
Amapá;Localidade;Total;Amapá;AP;2012;0,6512;%;1.2
Bahia;Localidade;Total;Bahia;BA;2012;0,5673;%;1.2
Ceará;Localidade;Total;Ceará;CE;2012;0,635;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2012;0,2148;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2012;0,5886;%;1.2
Goiás;Localidade;Total;Goiás;GO;2012;0,6227;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2012;0,6251;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2012;0,5982;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2012;0,7868;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2012;0,5393;%;1.2
Pará;Localidade;Total;Pará;PA;2012;0,3574;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2012;0,9546;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2012;0,6166;%;1.2
Piauí;Localidade;Total;Piauí;PI;2012;0,9475;%;1.2
Paraná;Localidade;Total;Paraná;PR;2012;0,6138;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2012;0,3767;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2012;0,8577;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2012;0,4352;%;1.2
Roraima;Localidade;Total;Roraima;RR;2012;0,5189;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2012;0,4632;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2012;0,6432;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2012;0,7725;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2012;0,3617;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2012;0,8429;%;1.2
Brasil;Localidade;Total;;;2012;0,53;%;1.2
Acre;Localidade;Total;Acre;AC;2013;0,6876;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2013;0,7213;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2013;0,4774;%;1.2
Amapá;Localidade;Total;Amapá;AP;2013;0,6143;%;1.2
Bahia;Localidade;Total;Bahia;BA;2013;0,5714;%;1.2
Ceará;Localidade;Total;Ceará;CE;2013;0,648;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2013;0,2349;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2013;0,5893;%;1.2
Goiás;Localidade;Total;Goiás;GO;2013;0,6028;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2013;0,6215;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2013;0,6018;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2013;0,8029;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2013;0,544;%;1.2
Pará;Localidade;Total;Pará;PA;2013;0,3677;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2013;0,95;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2013;0,6043;%;1.2
Piauí;Localidade;Total;Piauí;PI;2013;0,9614;%;1.2
Paraná;Localidade;Total;Paraná;PR;2013;0,5987;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2013;0,3619;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2013;0,8433;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2013;0,4504;%;1.2
Roraima;Localidade;Total;Roraima;RR;2013;0,3986;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2013;0,4534;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2013;0,6361;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2013;0,7593;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2013;0,3588;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2013;0,8311;%;1.2
